wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,buy_count,sell_count,buy_shares,sell_shares,sold_share_ratio,buy_usd_weighted_price,sell_usd_weighted_price,sell_minus_buy_price,first_buy_to_first_sell_seconds,last_buy_to_first_sell_seconds,buy_after_sell,same_hour_two_way
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0xec188e3ad1141aa7abc7a144c7d025d588a8fdb47f5c3d928aca93a95ed4cac1,25376780816590974182747920431673595414260562800144208326491948758938636419935,YES,28°C,arch-highest-temperature-in-beijing-on-may-18-2026,19,10,86.50002,73.108234,0.8451817005360229,0.1662789326522699,0.17338538091345498,0.007106448261185089,59819,-52465,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0x1c5be49ff371bc2eab873e5b8333fa6922ff298ea6c3580559439686d937d9e2,48204437222726154420245808380294109219182203580063593597351411279898478618406,YES,31°C or higher,arch-highest-temperature-in-beijing-on-may-19-2026,1,1,200.0,92.72,0.4636,0.0062982,0.01,0.0037018,25584,25584,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0x2b32ee23ea933462cc8b608a4734d075171bf095590b0ffc7eaefdf1b48cda18,536201514061251427769984756752421808268968521687993838025117381353963574677,YES,23°C,arch-highest-temperature-in-beijing-on-may-19-2026,6,4,109.373521,68.506665,0.6263551211814786,0.021130443446179262,0.07049283452931185,0.04936239108313259,40635,-25918,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0x2b926f896579cceac503509db30bfdd1e26eab21af28a882bacf5bd6bdc1d807,49932731060956847176012853426809795607370556309046870802572270884341746939572,YES,28°C,arch-highest-temperature-in-beijing-on-may-19-2026,6,2,25.08,12.82,0.5111642743221692,0.056363636363636366,0.06252730109204369,0.00616366472840732,60352,30212,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0x62467d1a98cc31eddf87139da8ae2a626fa78593d22612e73dd5923c39bba259,35291398011079049763366989524842279701125179900110580819365842599515578509041,YES,29°C,arch-highest-temperature-in-beijing-on-may-19-2026,6,1,22.577717,15.641024,0.6927637546347135,0.03818796205125611,0.038999940157370766,0.0008119781061146567,46165,17381,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0x628ae2ecb65f6ee528703d23dc74f9dc8c7cd9fd1b8d63216dbd526c92740c78,34937378734136622092141784369123565822626377958720610793789365662997870600374,YES,24°C,arch-highest-temperature-in-beijing-on-may-19-2026,6,2,38.339999999999996,19.549999999999997,0.5099113197704747,0.07855242566510172,0.10078465473145781,0.022232229066356093,37557,-742,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0x92eb2fd784a763be21276f22f794a7d641c16f454ce688af9c636227e16d505c,51866699125649960403602948354419831035374664349462530163717851916506591948868,YES,21°C or below,arch-highest-temperature-in-beijing-on-may-19-2026,1,2,200.0,120.95,0.60475,0.010495,0.01103927242662257,0.000544272426622569,31421,31421,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-19,0xb5a9928034985f027683415eb580257c1c948008bd8386110132a672f71d6728,107125309251921432025810587965163876294557343017219864659589109798620205081002,YES,22°C,arch-highest-temperature-in-beijing-on-may-19-2026,13,2,275.545166,128.23000000000002,0.4653683527149956,0.013175342731289287,0.012871636902440925,-0.0003037058288483628,76720,-611,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-21,0x06f9da257e4c3e872b005e3f46f5e05c5b6964b2048bd973e18bdc04293095f2,53776999658554861945227836640993155965588683586496039851936651328248662583331,YES,29°C,highest-temperature-in-beijing-on-may-21-2026,3,1,12.49,5.0,0.400320256204964,0.09199359487590072,0.12,0.02800640512409927,11114,5269,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-21,0x2794ab978d18809613ccdfd6d9661e56ae9587c72b4dc9dcbf8c0256df945962,15571906308764927325366803928949149713691789344006610198975557000804856237354,YES,30°C,highest-temperature-in-beijing-on-may-21-2026,3,0,26.09,0,0.0,0.01410080490609429,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-21,0xb991c4417189048cf493596064cffa16c1bee960b16c24bc73ca709859fb14ff,15247397263853519411220206973667728796373448701278942230086577108836946606486,YES,26°C,highest-temperature-in-beijing-on-may-21-2026,3,2,6.4096340000000005,6.4,0.9984969500598629,0.14503761057183606,0.22,0.07496238942816394,41153,18386,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-21,0xc5eb76e431e7a2c2fd3c9b2505d2bf4036953e068b5d031b985dfeb7af3ba36c,28375401649114054998419447844729022152451002937973735570875373642203842697171,YES,27°C,highest-temperature-in-beijing-on-may-21-2026,14,5,41.686634,32.93,0.7899414474193335,0.19363669419795326,0.27565441846340727,0.082017724265454,19802,-35444,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-21,0xee609ecdeb3d6dc6f4e2c11be503bdfd84224f33691ce0a49792b287f5e8c8c3,26762780452888628683934787431265547202284716364062936537382847990990143726758,YES,28°C,highest-temperature-in-beijing-on-may-21-2026,12,4,52.1277,26.54,0.5091342990387069,0.16046364984451647,0.25166917859834215,0.09120552875382568,1211,-70263,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-22,0x00de043d027ecc99f534c8d847f6d0a623ad728e5dd1da293c94415f696921a8,115625694608368712579832925012943077075883119048140818742267201626151353287833,YES,20°C,highest-temperature-in-beijing-on-may-22-2026,7,5,63.65,29.560665,0.4644252160251375,0.1263110761979576,0.2593378396595611,0.1330267634616035,30160,-64862,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-22,0x95f5bc8e5be4071bd269ba6496126007c57d8dc56ff387fd37e0eb7c4775f277,16659505859368341080529893373579103077710672366853174789831353839440782039890,YES,17°C,highest-temperature-in-beijing-on-may-22-2026,1,5,19.09,18.29,0.9580932425353588,0.016,0.003,-0.013000000000000001,55401,55401,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-22,0xc715c38cef5cf19d34a4da9e0efcff0922e0e0f5a0650d272d126acd63ed3fb4,69116269063494475377236592059788147705275361762658464392166909405096484496990,YES,18°C,highest-temperature-in-beijing-on-may-22-2026,8,1,99.995843,99.99,0.999941567570964,0.026861386627842123,0.0019002900290029006,-0.024961096598839223,127017,17154,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-22,0xccdcee755294f50e44b0bfb6c0f7a5e41b39d84354f339ed8a6799863cde1f82,102731341341124680567883900010637744018749317995051548402416334454116006956642,YES,19°C,highest-temperature-in-beijing-on-may-22-2026,6,2,49.34,49.34,1.0,0.07306445074989866,0.027641062018646127,-0.04542338873125253,98803,-4261,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-23,0x45e1c7b0c3699dd7ed6c9a0f7afad1560dce8b37405df36b61f973990188bdf7,55948571263742661058813811407187809439935150234577346343723626806315765124675,YES,30°C,highest-temperature-in-beijing-on-may-23-2026,3,0,12.870000000000001,0,0.0,0.011932400932400932,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-23,0x4d4f272d16e9a4d1630e13b5a953331ef6bc50583ad6730f9c6bdf75d24316d6,82766836989826173207241883450029245067145157811406297296530589552608953352303,YES,26°C or below,highest-temperature-in-beijing-on-may-23-2026,2,0,8.77,0,0.0,0.51,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-23,0x94c99b09cdc5f9f4b7a37e76f9ad800c28d4728ef55ccfef18082c94a86aa3ab,85914656811408302998297804784940981832487080686274302935294838288095186882765,YES,27°C,highest-temperature-in-beijing-on-may-23-2026,8,6,60.227555,46.918886,0.779026908862563,0.20514629889923308,0.20046081230487867,-0.0046854865943544155,74017,-10577,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-23,0xbee75b2d5c2790ed7e49a686ffc1cf6ea92496b87ef8f6f55c059451295aa141,71373489989599179959502079303053544723713651553167458726960472140769544819192,YES,28°C,highest-temperature-in-beijing-on-may-23-2026,19,7,118.59485500000001,106.26,0.8959916515771278,0.0721230950533225,0.05588198757763975,-0.016241107475682748,45989,-52393,True,3
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-23,0xec9bd1593a7995da246f873f164aae3f7ad78348717605b62334d83d85239c82,80848384062220018645308237764323720875278815124580281906214878883598134165186,YES,29°C,highest-temperature-in-beijing-on-may-23-2026,9,6,111.510825,93.03999999999999,0.8343584580241424,0.023371748886262835,0.019244518486672402,-0.004127230399590433,46383,-35734,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-24,0x2564c2cbfa550a47b95bc026990d099d4d41b4ceea482c45619a247f27653d15,92466760355935274711281140377847076975100888870314137457230651992787202456628,YES,31°C,highest-temperature-in-beijing-on-may-24-2026,10,6,83.970432,55.16,0.65689789472561,0.14453587662857326,0.12255801305293691,-0.021977863575636344,45292,-67277,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-24,0x8493023ca4e517ad244200adfe79ec707421fd21ad4a59990dc30be652f080ee,36282725548443781865542038056471956619651124714360613033033389348784618537408,YES,30°C,highest-temperature-in-beijing-on-may-24-2026,10,5,64.260277,43.439046000000005,0.6759859749748667,0.22114717930643218,0.2151934690278419,-0.005953710278590291,55104,-31286,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-24,0x8fe9e1a66ae761306973ca49b159260b427dc20def2156e87a657c9d42d7d724,10868326053047362203207651791765656768922055829208057269985930022887744212588,YES,32°C,highest-temperature-in-beijing-on-may-24-2026,7,8,95.380777,72.71,0.7623129343976721,0.04411382599661565,0.04341369825333517,-0.0007001277432804806,61075,-43293,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-24,0xaa4f8578ea4bac02bd1b3ea94a8ba1ee438f47c37bd9c4bbdb470eefea9df1aa,51640856997226242692696004278152098362628457232174640437546947063713668799151,YES,33°C,highest-temperature-in-beijing-on-may-24-2026,6,1,46.660000000000004,46.65,0.9997856836690955,0.014346335190741534,0.01,-0.0043463351907415335,90906,20876,False,0
