asset_count,buy_usd,city,closed_asset_count,closed_authoritative_pnl,exit_modes,has_open_or_unresolved,has_transform_events,losing_closed_assets,no_asset_count,open_mark_to_market_cash_pnl,open_or_unresolved_asset_count,sell_usd,transform_asset_count,unit,weather_date,weather_metric,winning_closed_assets,yes_asset_count
4,92.426320025413,Busan,3,33.429639,mixed_sell_and_resolution|pre_resolution_sell,True,False,3,0,-4.083,1,125.261400027445,0,C,2026-05-13,high,0,4
1,8.95550000225,Helsinki,1,8.285672,mixed_sell_and_resolution,False,False,1,0,0,0,17.240540002958998,0,C,2026-05-13,high,0,1
2,65.81466599999987,Hong Kong,2,33.893531,mixed_sell_and_resolution,False,False,1,0,0,0,99.70357000118,0,C,2026-05-13,high,1,2
2,47.336259997154,London,0,0,no_public_exit_yet|pre_resolution_sell,True,False,0,0,-21.7016,2,26.18,0,C,2026-05-13,high,0,2
2,18.228599996326,Moscow,2,13.154888,mixed_sell_and_resolution,False,False,1,0,0,0,31.383399987622,0,C,2026-05-13,high,1,2
3,20.447149987468,Qingdao,3,90.890948,mixed_sell_and_resolution|transform_affected,False,True,2,1,0,0,11.338130012096,2,C,2026-05-13,high,1,2
3,28.558730010578003,Seoul,1,-0.460729,mixed_sell_and_resolution|no_public_exit_yet,True,False,1,0,-5.8941,2,22.20369999235,0,C,2026-05-13,high,0,3
3,62.077599995322,Shenzhen,1,7.003085,mixed_sell_and_resolution|no_public_exit_yet|pre_resolution_sell,True,False,0,1,-23.9717,2,52.10180000381,0,C,2026-05-13,high,1,2
2,10.568159984444998,Tel Aviv,0,0,no_public_exit_yet|pre_resolution_sell,True,False,0,0,-3.2117,2,19.639320011099,0,C,2026-05-13,high,0,2
2,36.356350005746,Beijing,2,20.815665000000003,mixed_sell_and_resolution,False,False,1,0,0,0,57.171890004019005,0,C,2026-05-14,high,1,2
1,4.6425999992,Buenos Aires,1,3.011367,mixed_sell_and_resolution,False,False,1,1,0,0,7.653860007675,0,C,2026-05-14,high,0,0
3,139.189680000704,Busan,3,-45.949204,mixed_sell_and_resolution,False,False,3,1,0,0,93.24032000116499,0,C,2026-05-14,high,0,2
2,33.042799991942005,Istanbul,0,0,no_public_exit_yet|pre_resolution_sell,True,False,0,0,-26.8837,2,14.57620000016,0,C,2026-05-14,high,0,2
3,17.339739999205,London,0,0,no_public_exit_yet,True,False,0,0,-17.3394,3,0.0,0,C,2026-05-14,high,0,3
3,77.706139976362,Miami,3,23.868693999999998,mixed_sell_and_resolution,False,False,1,1,0,0,101.574980007299,0,F,2026-05-14,high,2,2
1,10.774279990705,Milan,1,3.951683,mixed_sell_and_resolution,False,False,1,0,0,0,14.72593998836,0,C,2026-05-14,high,0,1
1,5.65123000052,Moscow,1,10.066854,mixed_sell_and_resolution,False,False,1,0,0,0,15.718120001740001,0,C,2026-05-14,high,0,1
1,9.334999999,Paris,0,0,no_public_exit_yet,True,False,0,0,-9.3349,1,0.0,0,C,2026-05-14,high,0,1
7,460.9260170099648,Seoul,7,34.248383,mixed_sell_and_resolution|transform_affected,False,True,4,3,0,0,192.95576000338698,4,C,2026-05-14,high,3,4
1,58.62195996047999,Seoul,0,0,pre_resolution_sell,True,False,0,0,-24.478,1,63.784309003960345,0,C,2026-05-14,low,0,1
2,37.781329990171,Shanghai,1,-28.462799,hold_to_resolution|pre_resolution_sell,True,False,1,0,-8.9625,1,0.755,0,C,2026-05-14,high,0,2
