actual_entry_allocation_pnl_at_observed_state,authoritative_realized_pnl_sum,basket_buy_budget_usd,basket_key,bucket_count,city,closed_yes_asset_count,counterfactual_status,equal_dollar_basket_pnl_at_observed_state,equal_payout_basket_pnl_at_observed_state,main_bucket_label,single_main_bucket_pnl_at_observed_state,state_model_valid,unit,weather_date,weather_metric,winner_bucket_labels
nan,-6.14275,61.6301,Tokyo|2026-06-27|high|C,1,Tokyo,1,not_evaluable_overlap_or_single,nan,nan,23°C,nan,False,C,2026-06-27,high,23°C
nan,nan,39.43524500161395,Warsaw|2026-06-27|high|C,1,Warsaw,0,unresolved_or_partial,nan,nan,37°C,nan,False,C,2026-06-27,high,
nan,-6.176006,16.848630001780002,Beijing|2026-06-28|high|C,3,Beijing,1,unresolved_or_partial,nan,nan,35°C,nan,True,C,2026-06-28,high,
nan,nan,41.526240006001004,London|2026-06-28|high|C,1,London,0,unresolved_or_partial,nan,nan,27°C,nan,False,C,2026-06-28,high,
nan,2.999905,0.0,Los Angeles|2026-06-28|high|F,1,Los Angeles,1,not_evaluable_overlap_or_single,nan,nan,between 72-73°F,nan,False,F,2026-06-28,high,
nan,nan,10.291540015035,Mexico City|2026-06-28|high|C,2,Mexico City,0,unresolved_or_partial,nan,nan,26°C,nan,True,C,2026-06-28,high,
nan,nan,16.161657000284002,Milan|2026-06-28|high|C,2,Milan,0,unresolved_or_partial,nan,nan,38°C,nan,True,C,2026-06-28,high,
nan,138.682994,53.761030023017,Paris|2026-06-28|high|C,5,Paris,2,unresolved_or_partial,nan,nan,29°C,nan,True,C,2026-06-28,high,31°C
195.78397999452002,186.97745600000002,24.38602000548,Qingdao|2026-06-28|high|C,4,Qingdao,4,winner_in_basket,51.0845937121201,190.9674456899876,29°C,277.4964348649204,True,C,2026-06-28,high,29°C
nan,181.200778,50.666787941746,Sao Paulo|2026-06-28|high|C,9,Sao Paulo,1,unresolved_or_partial,nan,nan,27°C,nan,True,C,2026-06-28,high,27°C
81.28018599521928,81.28105000000001,18.71885000478072,Shanghai|2026-06-28|high|C,2,Shanghai,2,winner_in_basket,37.66322824142049,87.78046621541439,30°C,94.0453064876217,True,C,2026-06-28,high,30°C
nan,94.579191,5.119657,Shenzhen|2026-06-28|high|C,1,Shenzhen,1,not_evaluable_overlap_or_single,nan,nan,28°C,nan,False,C,2026-06-28,high,28°C
nan,nan,22.7109,Tokyo|2026-06-28|high|C,2,Tokyo,0,unresolved_or_partial,nan,nan,23°C,nan,True,C,2026-06-28,high,
nan,174.071258,71.124056999443,Beijing|2026-06-29|high|C,3,Beijing,1,unresolved_or_partial,nan,nan,28°C,nan,True,C,2026-06-29,high,27°C
nan,nan,5.6774000000000004,Buenos Aires|2026-06-29|high|C,2,Buenos Aires,0,unresolved_or_partial,nan,nan,17°C,nan,True,C,2026-06-29,high,
