capital_at_risk_usd,city,current_zero_value_added_positions,exit_modes,has_transform_affected,no_positions,positions,realized_pnl_v2,roi_v2,sell_before_local_day_end_positions,settled_positions,unit,weather_date,weather_metric,yes_positions
0.99,Chicago,0,mostly_or_fully_sold,False,0,1,-0.33000000000000007,-0.3333333333333334,1,1,F,2026-02-04,high,1
46.77328,Dallas,0,transform_affected,True,1,2,1.1279200000000031,0.02411462270766564,1,2,F,2026-02-04,high,1
10.303290999975236,Miami,0,transform_affected,True,1,2,0.5426779999999995,0.05267035552051319,1,2,F,2026-02-04,high,1
2.0,Buenos Aires,0,mostly_or_fully_sold,False,0,1,-1.0,-0.5,1,1,C,2026-02-05,high,1
2.0,Seoul,0,never_sold,False,0,1,-2.0,-1.0,0,1,C,2026-02-05,high,1
62.0,New York City,0,transform_affected,True,1,2,6.0,0.0967741935483871,1,2,F,2026-02-06,high,1
2.0,Seoul,0,never_sold,False,0,1,-2.0,-1.0,0,1,C,2026-02-06,high,1
2.0,Toronto,0,mostly_or_fully_sold,False,0,1,-1.085,-0.5425,1,1,C,2026-02-06,high,1
16.490000000000002,Miami,0,transform_affected,True,1,2,0.5099999999999998,0.030927835051546376,0,2,F,2026-02-07,high,1
98.0,Buenos Aires,0,transform_affected,True,1,2,2.0,0.02040816326530612,0,2,C,2026-02-08,high,1
20.398921999370824,London,0,transform_affected,True,1,2,0.5779379999999998,0.02833179125925505,1,2,C,2026-02-08,high,1
67.844,Miami,0,transform_affected,True,1,2,0.6999999999999957,0.010317787866281408,1,2,F,2026-02-08,high,1
57.99992700000857,New York City,0,transform_affected,True,1,2,0.09319500000000147,0.001606812367194664,1,2,F,2026-02-08,high,1
1.0,Wellington,0,never_sold,False,0,1,-1.0,-1.0,0,1,C,2026-02-08,high,1
1.0,Ankara,0,never_sold,False,0,1,-1.0,-1.0,0,1,C,2026-02-09,high,1
19.5,Buenos Aires,0,transform_affected,True,1,2,0.5,0.02564102564102564,0,2,C,2026-02-09,high,1
85.1384,London,0,transform_affected,True,1,2,0.8504000000000005,0.009988442347988692,1,2,C,2026-02-09,high,1
74.9559,Miami,0,transform_affected,True,1,2,0.45425799999999583,0.0060603368113783685,0,2,F,2026-02-09,high,1
318.58048199996335,New York City,0,transform_affected,True,2,4,3.0812919999999977,0.009671942175039938,1,4,F,2026-02-09,high,2
99.41676699944274,Seoul,0,mostly_or_fully_sold|transform_affected,True,1,3,1.1167469999999895,0.011232984472390349,1,3,C,2026-02-09,high,2
1.0,Toronto,0,mostly_or_fully_sold,False,0,1,-0.09999999999999999,-0.09999999999999999,1,1,C,2026-02-09,high,1
101.9,Ankara,0,never_sold|transform_affected,True,1,3,-1.8999999999999986,-0.018645731108930308,0,3,C,2026-02-10,high,2
150.83204299769997,Dallas,0,mostly_or_fully_sold|transform_affected,True,2,5,1.4543850000000043,0.009642413979781352,4,5,F,2026-02-10,high,3
81.176126,Miami,0,transform_affected,True,1,2,0.8058660000000089,0.00992737692360447,1,2,F,2026-02-10,high,1
1.0,Seoul,0,never_sold,False,0,1,-1.0,-1.0,0,1,C,2026-02-10,high,1
174.2999,Ankara,0,never_sold|transform_affected,True,2,5,-0.3646089999999944,-0.0020918485897008223,1,5,C,2026-02-11,high,3
295.26020000100004,London,0,transform_affected,True,3,6,3.070450000000001,0.010399132697158647,1,6,C,2026-02-11,high,3
147.151536,New York City,0,never_sold|transform_affected,True,2,5,0.09208099999998609,0.0006257562951975309,2,5,F,2026-02-11,high,3
88.9959989964076,Seoul,0,transform_affected,True,1,2,2.8044860000000114,0.03151249529895402,1,2,C,2026-02-11,high,1
58.0,Toronto,0,transform_affected,True,1,2,2.039999999999999,0.03517241379310344,1,2,C,2026-02-11,high,1
1.0,Wellington,0,mostly_or_fully_sold,False,0,1,-0.7,-0.7,1,1,C,2026-02-11,high,1
99.944602,Chicago,0,transform_affected,True,1,2,0.12770000000001147,0.001277707824580776,1,2,F,2026-02-12,high,1
99.0,Dallas,0,transform_affected,True,1,2,1.0,0.010101010101010102,0,2,F,2026-02-12,high,1
98.99510000000001,Miami,0,transform_affected,True,1,2,0.9999500000000054,0.010101004999237391,0,2,F,2026-02-12,high,1
1.0,Atlanta,0,mostly_or_fully_sold,False,0,1,-0.5,-0.5,1,1,F,2026-02-13,high,1
11.898,Dallas,0,mostly_or_fully_sold|transform_affected,True,1,3,-1.2682999999999998,-0.10659774752059167,2,3,F,2026-02-13,high,2
99.999705,Seattle,0,mostly_or_fully_sold|transform_affected,True,1,3,0.80006,0.008000623601839625,1,3,F,2026-02-13,high,2
335.32320000000004,Seoul,0,never_sold|transform_affected,True,3,5,17.276902,0.051523133502244994,0,5,C,2026-02-13,high,2
31.274199999999997,Ankara,0,transform_affected,True,1,2,-0.6942000000000004,-0.022197210480204146,0,2,C,2026-02-14,high,1
285.2281980114707,London,0,transform_affected,True,1,2,2.762912,0.009686672002495655,1,2,C,2026-02-14,high,1
370.851237999824,Seoul,0,mostly_or_fully_sold|never_sold|transform_affected,True,4,7,942.5727039999999,2.5416463730409533,3,7,C,2026-02-14,high,3
215.340866,Buenos Aires,0,never_sold,False,0,2,1.6661480000000002,0.0077372587514345755,0,2,C,2026-02-15,high,2
99.0,Chicago,0,transform_affected,True,1,2,1.0,0.010101010101010102,0,2,F,2026-02-15,high,1
510.09896800049995,London,0,mostly_or_fully_sold|transform_affected,True,3,7,11.714399999999996,0.022964955302533594,6,7,C,2026-02-15,high,4
63.090299999582,Sao Paulo,0,mostly_or_fully_sold,False,2,3,0.9117079999999999,0.014450842681141796,3,3,C,2026-02-15,high,1
387.736898,Seoul,0,mostly_or_fully_sold|transform_affected,True,3,5,3.0504600000000015,0.00786734513979632,1,5,C,2026-02-15,high,2
93.14139999999999,Toronto,0,mostly_or_fully_sold|transform_affected,True,2,3,-7.763359999999997,-0.08335026100101564,2,3,C,2026-02-15,high,1
30.8900000013,Ankara,0,mostly_or_fully_sold,False,1,1,-0.19998,-0.006473939786066166,1,1,C,2026-02-16,high,0
212.15423099999998,Buenos Aires,0,mostly_or_fully_sold|never_sold|transform_affected,True,3,7,56.354065999999996,0.2656278205453277,4,7,C,2026-02-16,high,4
35.594359002010144,London,0,mostly_or_fully_sold|partially_sold,False,0,4,10.995568999999998,0.3089132466012111,4,4,C,2026-02-16,high,4
3.0,New York City,0,mostly_or_fully_sold,False,0,1,12.0,4.0,1,1,F,2026-02-16,high,1
1.0,Paris,0,never_sold,False,0,1,-1.0,-1.0,0,1,C,2026-02-16,high,1
125.622731,Buenos Aires,0,mostly_or_fully_sold|never_sold,False,2,5,15.061893,0.11989783122928604,4,5,C,2026-02-17,high,3
28.617,London,0,mostly_or_fully_sold|partially_sold,False,1,2,-7.2212,-0.2523395184680434,2,2,C,2026-02-17,high,1
74.298,New York City,0,mostly_or_fully_sold,False,1,1,-2.873932,-0.03868114888691485,1,1,F,2026-02-17,high,0
152.706661,Paris,0,transform_affected,True,1,2,5.662220000000005,0.0370790636303678,1,2,C,2026-02-17,high,1
40.08,Sao Paulo,0,mostly_or_fully_sold|never_sold,False,2,3,-13.379812999999999,-0.3338276696606786,1,3,C,2026-02-17,high,1
70.00439999999999,Toronto,0,transform_affected,True,1,2,1.886809999999997,0.026952734399551988,1,2,C,2026-02-17,high,1
