actual_minus_equal_amount,actual_minus_main_bucket,actual_minus_original_hold,actual_trade_pnl_v2,basket_key,bucket_count,buckets,city,equal_amount_basket_same_input_pnl,equal_payout_basket_same_input_pnl,evaluable,liquidity_limit,main_bucket,main_bucket_only_same_input_pnl,non_simultaneous_fill_limit,not_evaluable_reason,original_shares_hold_to_resolution_pnl,settled_yes_bucket_count,total_input_usd,unit,weather_date,weather_metric,winner_buckets
23.374439731098605,191.13895499612698,0.0014319961270103931,122.120227,New York City|2026-07-05|high|F,5,between 76-77°F|between 78-79°F|between 80-81°F|between 82-83°F|between 84-85°F,New York City,98.7457872689014,145.88214300824575,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 76-77°F,-69.018727996127,counterfactual ignores that original fills occurred at different times and market states,,122.11879500387299,,69.018727996127,F,2026-07-05,high,between 78-79°F
0.00181004524299766,0.00181004524299766,0.00181004524299766,-24.7992,New York City|2026-07-05|low|F,4,between 62-63°F|between 64-65°F|between 66-67°F|between 68-69°F,New York City,-24.801010045242997,-24.801010045242997,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 68-69°F,-24.801010045242997,counterfactual ignores that original fills occurred at different times and market states,,-24.801010045242997,,24.801010045242997,F,2026-07-05,low,
15.905439995732037,15.905439995732037,15.905439995732037,-2.694683,Paris|2026-07-05|high|C,2,27°C|28°C,Paris,-18.600122995732036,-18.600122995732036,True,counterfactual assumes all target shares could be filled at observed weighted average prices,28°C,-18.600122995732036,counterfactual ignores that original fills occurred at different times and market states,,-18.600122995732036,,18.600122995732036,C,2026-07-05,high,
0.001244001511793158,0.001244001511793158,0.001244001511793158,-29.556600000000003,Sao Paulo|2026-07-05|high|C,2,17°C|18°C,Sao Paulo,-29.557844001511796,-29.557844001511796,True,counterfactual assumes all target shares could be filled at observed weighted average prices,18°C,-29.557844001511796,counterfactual ignores that original fills occurred at different times and market states,,-29.557844001511796,,29.557844001511796,C,2026-07-05,high,
,,,,Seoul|2026-07-05|high|C,3,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,C,2026-07-05,high,
9.999550000117097e-05,9.999550000117097e-05,9.999550000117097e-05,-25.459899999999998,Tokyo|2026-07-05|high|C,2,24°C|25°C,Tokyo,-25.4599999955,-25.4599999955,True,counterfactual assumes all target shares could be filled at observed weighted average prices,25°C,-25.4599999955,counterfactual ignores that original fills occurred at different times and market states,,-25.4599999955,,25.4599999955,C,2026-07-05,high,
56.5636499908308,56.5636499908308,56.5636499908308,-3.8094,Warsaw|2026-07-05|high|C,2,18°C|19°C,Warsaw,-60.3730499908308,-60.3730499908308,True,counterfactual assumes all target shares could be filled at observed weighted average prices,19°C,-60.3730499908308,counterfactual ignores that original fills occurred at different times and market states,,-60.3730499908308,,60.3730499908308,C,2026-07-05,high,
0.00010000000000331966,0.00010000000000331966,0.00010000000000331966,-51.0881,Wuhan|2026-07-05|high|C,2,28°C|29°C,Wuhan,-51.0882,-51.0882,True,counterfactual assumes all target shares could be filled at observed weighted average prices,29°C,-51.0882,counterfactual ignores that original fills occurred at different times and market states,,-51.0882,,51.0882,C,2026-07-05,high,
0.0003399964280035306,0.0003399964280035306,0.0003399964280035306,-16.5706,Hong Kong|2026-07-06|high|C,2,29°C|30°C,Hong Kong,-16.570939996428002,-16.570939996428002,True,counterfactual assumes all target shares could be filled at observed weighted average prices,30°C,-16.570939996428002,counterfactual ignores that original fills occurred at different times and market states,,-16.570939996428002,,16.570939996428002,C,2026-07-06,high,
24.585361005349004,24.585361005349004,24.585361005349004,-10.072121,London|2026-07-06|high|C,2,33°C|34°C,London,-34.657482005349,-34.657482005349,True,counterfactual assumes all target shares could be filled at observed weighted average prices,33°C,-34.657482005349,counterfactual ignores that original fills occurred at different times and market states,,-34.657482005349,,34.657482005349,C,2026-07-06,high,
62.50278381432298,-111.98760275746808,-10.543753995079982,104.804807,New York City|2026-07-06|high|F,4,between 64-65°F|between 66-67°F|between 68-69°F|between 70-71°F,New York City,42.302023185677015,155.19478655742284,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 70-71°F,216.79240975746808,counterfactual ignores that original fills occurred at different times and market states,,115.34856099507998,,15.861439004920001,F,2026-07-06,high,between 70-71°F
0.0004080034653082265,0.0004080034653082265,0.0004080034653082265,-11.677900000000001,New York City|2026-07-06|low|F,3,between 60-61°F|between 62-63°F|between 64-65°F,New York City,-11.67830800346531,-11.67830800346531,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 64-65°F,-11.67830800346531,counterfactual ignores that original fills occurred at different times and market states,,-11.67830800346531,,11.67830800346531,F,2026-07-06,low,
15.710850991881998,15.710850991881998,15.710850991881998,-7.601109000000001,Sao Paulo|2026-07-06|high|C,4,19°C|20°C|21°C|22°C,Sao Paulo,-23.311959991882,-23.311959991882,True,counterfactual assumes all target shares could be filled at observed weighted average prices,22°C,-23.311959991882,counterfactual ignores that original fills occurred at different times and market states,,-23.311959991882,,23.311959991882,C,2026-07-06,high,
54.35952000479699,54.35952000479699,54.35952000479699,-26.127300000000005,Seoul|2026-07-06|high|C,3,24°C|25°C|26°C,Seoul,-80.486820004797,-80.486820004797,True,counterfactual assumes all target shares could be filled at observed weighted average prices,26°C,-80.486820004797,counterfactual ignores that original fills occurred at different times and market states,,-80.486820004797,,80.486820004797,C,2026-07-06,high,
0.0003699916519970259,0.0003699916519970259,0.0003699916519970259,-22.0651,Wellington|2026-07-06|high|C,2,11°C|12°C,Wellington,-22.065469991651998,-22.065469991651998,True,counterfactual assumes all target shares could be filled at observed weighted average prices,12°C,-22.065469991651998,counterfactual ignores that original fills occurred at different times and market states,,-22.065469991651998,,22.065469991651998,C,2026-07-06,high,
66.70964247738695,-28.45867803993744,0.0009109947113472572,134.482935,Buenos Aires|2026-07-07|high|C,2,18°C|19°C,Buenos Aires,67.77329252261305,137.53395345387122,True,counterfactual assumes all target shares could be filled at observed weighted average prices,18°C,162.94161303993744,counterfactual ignores that original fills occurred at different times and market states,,134.48202400528865,,27.395027994711334,C,2026-07-07,high,18°C
-250.5808874219431,761.7300709888268,-3.879929011173317,657.348291,Hong Kong|2026-07-07|high|C,3,28°C|29°C|30°C,Hong Kong,907.9291784219431,703.3788448465016,True,counterfactual assumes all target shares could be filled at observed weighted average prices,29°C,-104.38177998882674,counterfactual ignores that original fills occurred at different times and market states,,661.2282200111733,,104.38177998882674,C,2026-07-07,high,28°C
0.0018429951029794722,0.0018429951029794722,0.0018429951029794722,-21.2995,London|2026-07-07|high|C,2,28°C|29°C,London,-21.301342995102978,-21.301342995102978,True,counterfactual assumes all target shares could be filled at observed weighted average prices,29°C,-21.301342995102978,counterfactual ignores that original fills occurred at different times and market states,,-21.301342995102978,,21.301342995102978,C,2026-07-07,high,
9.895178084799511,-130.20973383040098,9.000000000014552e-05,91.25085,Qingdao|2026-07-07|high|C,2,23°C|24°C,Qingdao,81.35567191520049,66.33920666031884,True,counterfactual assumes all target shares could be filled at observed weighted average prices,23°C,221.460583830401,counterfactual ignores that original fills occurred at different times and market states,,91.25076,,58.74924,C,2026-07-07,high,23°C
21.82232001204,21.82232001204,21.82232001204,-3.2761,Seoul|2026-07-07|high|C,2,25°C|26°C,Seoul,-25.09842001204,-25.09842001204,True,counterfactual assumes all target shares could be filled at observed weighted average prices,26°C,-25.09842001204,counterfactual ignores that original fills occurred at different times and market states,,-25.09842001204,,25.09842001204,C,2026-07-07,high,
,,,,Seoul|2026-07-07|low|C,2,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-07-07,low,
0.0014430027682550417,0.0014430027682550417,0.0014430027682550417,-56.4657,Shanghai|2026-07-07|high|C,3,36°C|37°C|38°C,Shanghai,-56.46714300276825,-56.46714300276825,True,counterfactual assumes all target shares could be filled at observed weighted average prices,37°C,-56.46714300276825,counterfactual ignores that original fills occurred at different times and market states,,-56.46714300276825,,56.46714300276825,C,2026-07-07,high,
